#cost performance baseline is an output of | determine budget
#Cost Variance (CV) | Earned Value (EV) - Actual Cost (AC)
#Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns ? | run chart
#Budget forecast and work performance measurement are an output of | control costs
#All of the following are important tools and techniques for developing project  schedule, except | progress reports
#Which of the following is a line chart that show data points plotted in the order in which they occur | run chart
#Which tool or technique for collecting requirements is often the most expensive and time consuming
#According to Luc Richard, the founder of www.projectmangler.com, five points of using project milestones include the following, except | Keep project milestones to be medium/large and nearly frequent
#Work performance measurements are output of | Estimating activities resources

Which of the following is a task at the lowest level of the WBS | A work package
# ___ are the people involved in or affected by project activities and include the project sponsor, project team, support staff, customers, users, suppliers, and even opponents of the project | Stakeholders
# In the example of the project of building a house, the __ would normally be the general contractor responsible for building the house. | project manager
# Project __management involves defining and managing all the work required to complete the project successfully | scope
# Project 	 management ensures that the project will satisfy the stated or implied needs for which it was undertaken. | quality
# Project 	 management is concerned with making effective use of the people involved with the project. | human
# Project 	 management involves generating, collecting, disseminating, and storing project information | communication
# Project 	 management is an overarching function that affects and is affected by all of the other knowledge areas. | integration
# What works on one project may not work on another, so it is essential for project managers to continue to develop their knowledge and 	in managing projects. | skills
# According to the Standish group, which of the following factors contributes most to the success of information technology projects? | Executive support
# According to the Standish Group study describing what factors contribute most to the success of information technology projects, 	 percent of successful projects are led by experienced project managers. | 97
# “All project leaders use a shared road map, focusing on key business aspects of their projects while integrating goals across all parts of the organization” describes the 	 best practice for project delivery. | Develop a streamlined project delivery 
# project management software integrates information from multiple projects to show the status of active, approved, and future projects across an entire organization | Enterprise
# A 	 can have many different job descriptions, which can vary tremendously based on the organization and the project | project manager
# In an interview with two chief information officers (CIOs), both men agreed that the most important project management skills seem to depend on 	_. | the uniqueness of the project and the people 
# Achieving high performance on projects requires 	, otherwise called human relations skills | soft skills
# A(n) 	 focuses on long-term goals and big-picture objectives, while inspiring people to reach those goals | leader
# A(n) 	 often deals with the day-to-day details of meeting specific goal | manager
# Some people say that 	achieve the vision of a project. | managers
# Most people agree that the modern concept of project management began with the 	. | Manhattan
# The Manhattan Project cost almost $2 billion in 	 | 1946
# In 	, Henry Gantt developed the famous Gantt chart as a tool for scheduling work in factories | 1917
# A Gantt chart is a standard format for displaying project schedule information by listing project activities and their corresponding start and finish dates in a 	format. | calendar
# During the Cold War years of the 1950s and ’60s, 	continued to be key in refining several project | the military
# The longest path through a network diagram that determines the earliest completion of a project is called the 	 path | critical
# By the 	, the U.S. military and its civilian suppliers developed software to assist in managing large projects | 1970s
# . 	 was an early project management software product that helped managers analyze complex schedules for designing aircraft | Artemis
# A PMO, or Project 	 Office, is an organizational group responsible for coordinating the project management function throughout an organization | Management
# Many organizations are now using enterprise or project 	 management software to help manage projects | portfolio
# PMI provides certification as a Project Management 	 (PMP), someone who has documented sufficient project experience and education, agreed to follow the PMI code of professional conduct, and demonstrated knowledge of the field of project management by passing a comprehensive examination. | Professional
# Just as passing the CPA exam is a standard for accountants, passing the 	 exam is becoming a standard for project managers | PMP
# The Project Management 	, a Web site for people involved in project management, provides an alphabetical directory of more than 300 project management software solutions. | Center
# __ tools are often recommended for small projects and single users. | Low-end
# . 	 tools, sometimes referred to as enterprise project management software, provide robust capabilities to handle very large projects | High-end
# . 	 describes a holistic view of carrying out projects within the context of the organization | Systems thinking
# The term “systems approach” emerged in the | 1950s
# 	 is a problem-solving approach that requires defining the scope of the system, dividing it into its components, and then identifying and evaluating its problems, opportunities, constraints, and needs. | Systems analysis
# . The 	focuses on different groups’ roles and responsibilities in order to meet the goals and policies set by top management. | structural frame
# The 	focuses on producing harmony between the needs of the organization and the needs of the people | human resources frame
# The 	assumes that organizations are coalitions composed of varied individuals and interest groups | political frame
# A 	 is the hierarchy most people think of when picturing an organizational chart | functional organizational structure
# In a 	, program managers report to the CEO | nructure
# In a 	, personnel often report to both a functional manager and one or more project managers | matrix organizational structure
# Project managers have the most authority in a pure 	 | project organizational structure
# Project managers have the least amount of authority in a pure 	 | functional organizational structure
# In a 	 matrix organizational structure, the project manager controls the project budget and has moderate to high authority. | strong
# 	 is a set of shared assumptions, values, and behaviors that characterize the functioning of an organization | Organizational culture
# The 	characteristic of organizational culture describes the degree to which management’s decisions take into account the effect of outcomes on people within the organization | people focus
# 	 refers to the degree to which the organization monitors and responds to changes in the external environment. | Open-systems focus
# . Many companies have realized that information technology is integral to their business and have created a vice president or equivalent-level position for the head of information technology, often called the | CIO
# A 		 is a collection of project phases. | project life cycle
# In early phases of a project life cycle, resource needs are usually 	and the level of uncertainty is | lowest; highest
# A preliminary or rough cost estimate is developed in the 	 phase, and an overview of the work involved is created | concept
# In the 	 phase, the project team creates more detailed project plans, a more accurate cost estimate, and a more thorough WBS | development
# In the 	 phase, the project team creates a definitive or very accurate cost estimate, delivers the required work, and provides performance reports to stakeholders | implementation
# The 	 model assumes that requirements will remain stable after they are defined | waterfall life cycle
# The 	 model provides for progressive development of operational software, with each release providing added capabilities | incremental build life cycle
# The 	 model requires heavy user involvement, and developers use a model to generate functional requirements and physical design specifications simultaneously | prototyping life cycle
# The 	 model uses an approach in which developers work with an evolving prototype | RAD life 
# Most trade schools, colleges, and universities did not start offering degrees in computer technology, computer science, management information systems, or other information technology areas until the | 1970s
# Projects involve 	project management process groups | 5
# 	 include defining and authorizing a project or project phase | Initiating processes
# 	 include devising and maintaining a workable scheme to ensure that the project addresses the organization’s needs | Planning processes
# . Examples of 	include acquiring and developing the project team, performing quality assurance, distributing information, managing stakeholder expectations, and conducting procurements | executing processes
# A common 	 is reporting performance, where project stakeholders can identify any necessary changes that may be required to keep the project on track | monitoring and controlling process
# Administrative activities are often involved in 	, such as archiving project files, closing out contracts, documenting lessons learned, and receiving formal acceptance of the delivered work as part of the phase or project | closing processes
# During 	 processes for a new project, the organization recognizes that a new project exists, and completes a project charter as part of this recognition | initiating
# 	 is crucial in information technology projects because once a project team implements a new system, it takes a considerable amount of effort to change the system | Planning
# The project integration management knowledge area maps to the 	process group through the activities of developing project charters | initiating
# The project scope management knowledge area maps to the 	 process group through the activities of scope verification and scope control | monitoring and controlling
# The project time management knowledge area maps to the 	 process group through the activity of schedule control | monitoring and controlling
# . 	 is a planning process falling under the Project Integration Management knowledge area | Develop project management plan
# 	 is a planning process falling under the Project Scope Management knowledge area | Create WBS
# 	 is a monitoring and controlling | Integrated change 
# The project cost management knowledge area maps to the 	 process group through the activities of estimating cases and budget determination. | planning
# The project communications management knowledge area maps to the 	process group through the activity of information distribution | executing 
# The project procurement management knowledge area maps to the 	 process group through the activity of administering procurements | monitoring and controlling
# The project procurement management knowledge area maps to the 	 process group through the activities conducting procurements | executing
# 	 is an iterative software development process that focuses on team productivity and delivers software best practices to all team members | RUP 
# should serve as the foundation for deciding which projects to pursue | Strategic planning
# An organization may initiate information technology projects for several reasons, but the most important reason is to support | business objectives
# A 	 is a document that includes details related to the identified project stakeholders | stakeholder register
# A 	 is an approach to help increase the support of stakeholders throughout the project | stakeholder management 
# A 	 is a meeting held at the beginning of a project so that stakeholders can meet each other, review the goals of the project, and discuss future plans | kick-off meeting
# The 	is often held after the business case and project charter are completed, but it could be held sooner, as needed. | kick-off meeting
# It is good practice to focus on the 	 of meetings | 65
# Quality metrics are an output of project | management
# The 	 provides a basis for creating the project schedule and performing earned value management for measuring and forecasting project performance | WBS
# 	 the project involves taking the actions necessary to ensure that activities in the project plan are completed. | Executing
# The 	 process involves gaining stakeholder and customer acceptance of the final products and services and bringing the project, or project phase, to an orderly end. | closing
# Directing and managing project execution involves carrying out the project management plan by performing the activities included in it | T
# Many people consider project integration management the key to overall project success | T
# Project integration management does not include interface management | F
# The number of interfaces can increase exponentially as the number of people involved in a project increases. | T
# Project integration management must occur just within the context of a particular project. | F
# Project managers should never be involved in strategic planning and project selection | F
# Strategic planning involves determining long-term objectives by analyzing the strengths and weaknesses of an organization, studying opportunities and threats in the business environment, predicting future trends, and projecting the need for new products and services | T
# An organization’s information technology project selection process should guide the strategic plan. | F
# Information systems can help an organization support a strategy of being a low-cost producer | T
# Selecting projects is considered an exact science | F
# As projects progress, the organization must reevaluate the need, funding, and will for each project to determine if the project should be continued, redefined, or terminated. | T
# Opportunities and directives are essentially the same | F
# Many problems and directives must be resolved quickly | T
# The organization should complete low-priority projects before high-priority ones, if the low-priority ones take less time | F
# You can use the NPV function in Microsoft Access to calculate the NPV quickly. | F
# Net present value and cash flow mean the same thing. | F
# An annual discount factor is a multiplier for each year based on the discount rate and year. | T
# The ROI is always positive. | F
# Payback period is the amount of time it will take to recoup, in the form of net cash inflows, the total dollars invested in a project. | T
# The first step in creating a weighted scoring model is to assign a weight to each criterion. | F
# A project charter typically does not authorize the project manager to use organizational resources to complete the project. | F
# Some people might use a contract in place of a charter. | T
# Many projects fail because of unclear requirements and expectations, so starting with a project charter makes a lot of sense. | F
# Project management plans document project planning assumptions and decisions regarding choices. | T
# The introduction or overview of a project must only include a list of definitions and acronyms. | F
# A stakeholder analysis should be part of the overall project | F
# The key deliverables section of the project management plan should describe the quality expectations for the product deliverables. | T
# A commonsense approach to improving the coordination between project plan development and execution is to follow this simple rule: Those who will do the work should not plan the work | F
# Many organizations have found that large information technology projects require experienced general managers who understand the business and application area of the technology, not the technology itself. | T
# All projects can benefit from using some type of project management information system to coordinate and communicate project information. | T
# There are 	 main processes involved in project integration management | six
# . 	 involves working with stakeholders to create the document that formally authorizes a project | Developing the project charter
# 	 involves coordinating all planning efforts to create a consistent, coherent document | Developing the project management plan
# The outputs of 	include change request status updates, project management plan updates, and project document updates | performing integrated change control
# Many people are familiar with SWOT analysis—analyzing Strengths, Weaknesses, Opportunities, and Threats—which is used to aid in | strategic planning
# The 	step in the planning process is to tie the information technology strategic plan to the organization’s overall strategic plan | first
# . In the 	 information technology planning stage, the analysis outlines business processes that are central to achieving strategic goals and helps determine which ones could most benefit from information technology | Business Area Analysis
# In the 	 stage, organizations tie information technology strategy to mission and vision of organization and identify key business areas | Information Technology Strategy Planning
# In the 	 stage of selecting information technology projects, organizations define project scope, benefits, and constraints | Project Planning
# In the 	 stage of selecting information technology projects, organizations select information technology projects | Resource Allocation
# Research shows that 	is the number one reason cited for why organizations invest in information technology projects | supporting explicit business objectives
# Author 	, who developed the concept of the strategic value of competitive advantage, has written several books and articles on strategic planning and competition | Robert Cooper
# Projects that address 	are much more likely to be successful because they will be important to the organization | broad organizational needs
# One method for selecting projects based on 	is to determine whether they first meet three important criteria: need, funding, and will | broad organizational needs
# 	 are new requirements imposed by management, government, or some external influence | Directive
# 	 analysis is a method of calculating the expected net monetary gain or loss from a project by discounting all expected future cash inflows and outflows to the present point in time | Net present value
# The first step in determining the NPV is to 	. | determine the estimated costs and benefits for the life of the project and the products it produces
# In the mathematical formula for determining the NPV, the variable n is 	 | the last year of the cash flow
# The 	is the minimum acceptable rate of return on an investment. | required rate of 
# You can determine a project’s 	 by finding what discount rate results in an NPV of zero for the
project | internal rate of return (IRR
# In a weighted scoring model, the sum of all of the criteria’s weights must total 	 percent. | 100
# A(n) 	 is a methodology that converts an organization’s value drivers, such as customer service, innovation, operational efficiency, and financial performance, to a series of defined metrics | balanced scorecard
# A(n) 	 is a document that formally recognizes the existence of a project and provides direction on the | project charter
# A(n) 	 is a document that describes the products or services to be created by the project team | statement of work
# 	 support contributes the most to successful information technology projects | Executiv
# A(n) 	 is a document used to coordinate all project planning documents and help guide a project’s execution and control | project management plan
# The 	section of the project plan should describe the major project functions and activities and identify those individuals who are responsible for them | project responsibilities
# The 	section of the project management plan describes how to monitor project progress and handle changes | project controls
# The 	section of the project management plan describes specific methodologies a project might use and explains how to document information | technical processes
# The project schedule information section of the project management plan might include | a detailed schedule
# The majority of time on a project is usually spent on 	, as is most of the project’s budget. | execution
# Most systems analysts begin their careers as | programmers
# On large projects, many project managers say that 	 percent of the job is communicating and managing changes | 90
# 	 should result in improvements in project performance | Corrective actions
# provide information on how project execution is going | Performance reports
# Which of the following is an important input to the integrated change control process? | Work performance information
# A(n) 	 is a formal, documented process that describes when and how official project documents may be changed. | change control system
# A(n) 	 is a formal group of people responsible for approving or rejecting changes to a project | CCB
# ensures that the descriptions of the project’s products are correct and complete | Configuration management
# 	 tools track the execution of business process flows and expose how the state of supporting IT | BSM 
# The term 	 describes a product produced as part of a project | deliverabl
# There are 	 main processes involved in project scope management. | 5
# 	 involves defining and documenting the features and functions of the products produced during the project as well as the processes used for creating them | Collecting requirements
# 	 involves reviewing the project charter, requirements documents, and organizational process assets to create a scope statement, adding more information as requirements are developed and change requests are approved | Defining scope
# involves formalizing acceptance of the project deliverables and during this phase the key project stakeholders, such as the customer and sponsor for the project, inspect and then formally accept the deliverables during this process. | Verifying scope
# The main outputs of 	 are accepted deliverables and change requests | verifying scope
# 	 involves controlling changes to project scope throughout the life of the project, which is a challenge on many information technology projects | Controlling scope
# Good 	is very important to project success because it helps improve the accuracy of time, cost, and resource estimates, it defines a baseline for performance measurement and project control, and it aides in communicating clear work responsibilities | scope definition
# An up-to-date 	is an important document for developing and confirming a common understanding of the project scope | project scope statement
# Of the following constraints, it is most difficult to describe, agree upon, and meet the 	 goal of many projects | scope
# A(n) 	 is a deliverable-oriented grouping of the work involved in a project that defines the total scope of the project | work breakdown structure
# In the WBS, the name of the entire project is the top box, called Level | 1
# In the WBS, the main groupings for the work are listed in Level | 2
# Many people confuse tasks on a WBS with | specification
# The 	tasks vary the most from project to project | executin
# The 	should list and describe all of the deliverables required for the project | scope statement
# In the 	, you use a similar project’s WBS as a starting point | analogy approach
# The 	approach involves refining the work into greater and greater levels of detail | top-down
# The 	approach is best suited to project managers who have vast technical insight and a big-picture perspective | top-down
# . Project managers often use the 	 approach for projects that represent entirely new systems or approaches to doing a job, or to help create buy-in and synergy with a project team | bottom-up
# After discovering WBS items and structure using the 	 technique, you could then translate the information into chart or tabular form. | mind mapping
# 	 involves formal acceptance of the completed project scope by the stakeholders | Scope verification
# The goal of 	is to influence the factors that cause scope changes, assure changes are processed according to procedures developed as part of integrated change control, and manage changes when they occur | scope control
# 	 is a process for identifying and modeling business events, who initiated them, and how the system should respond to them | Use case modeling
# uses highly organized and intensive workshops to bring together project stakeholders—the sponsor, users, business analysts, programmers, and so on—to jointly define and design information systems | JAD
# There are 	 main processes involved in project time management | six
# involves identifying the specific activities that the project team members and stakeholders must perform to produce the project deliverables. | Defining activities
# The main outputs of the 	 process are an activity list, activity attributes, milestone list, and requested changes | defining activities
# 	 involves identifying and documenting the relationships between project activities | Sequencing activities
# 	 involves estimating the number of work periods that are needed to complete individual activities. | Estimating activity 
# involves analyzing activity sequences, activity resource estimates, and activity duration estimates to create the project schedule | Developing the schedule
# 	 involves controlling and managing changes to the project schedule | Controlling the schedule
# Outputs from 	 include performance measurements, organizational process assets updates, change requests, project management plan updates, and project document updates | controlling the schedule
# The 	 provide(s) schedule-related information about each activity, such as predecessors, successors, logical relationships, leads and lags, resource requirements, constraints, imposed dates, and assumptions related to the activity | activity attributes
# The goal of 	is to ensure that the project team has complete understanding of all the work they must do as part of the project scope so they can start scheduling the work | defining activities
# 	 results in supporting detail to document important product information as well as assumptions and constraints related to specific activities | Defining activities
# 	 involves evaluating the reasons for dependencies and the different types of dependencies | Sequencing activities
# 	 dependencies are inherent in the nature of the work being performed on a project. | Mandatory
# 	 dependencies are sometimes referred to as soft logic and should be used with care since they may limit later scheduling options. | Discretionary
# 	 dependencies involve relationships between project and non-project activities | Externa
# occur when two or more activities follow a single node | Burst
# On a network diagram, all arrowheads should face toward the | right
# The 	is a network diagramming technique in which boxes represent activities | PDM
# In a 	 relationship, the “from” activity must finish before the “to” activity can start. | finish-to-start
# In a 	 relationship, the “from” activity cannot start until the “to” activity is started. | start-to-start
# In a 	 relationship, one task cannot finish before another finishes. | finish-to-finish 
# A 	 is a hierarchical structure that identifies the project’s resources by category and type | resource breakdown structure
# The activity list, activity attributes, activity resource requirements, resource calendars, project scope statement, enterprise environmental factors, and organizational process assets all include information that affect | duration estimates
# The ultimate goal of 	 is to create a realistic project schedule that provides a basis for monitoring project progress for the time dimension of the project | developing the schedule
# 	 provide(s) a standard format for displaying project schedule information by listing project activities and their corresponding start and finish dates in a calendar format | Gantt charts
# 	 is a network diagramming technique used to predict total project duration | Critical path analysis
# The critical path is the 	 path through a network diagram, and it represents the 	 time it takes to complete a project | longest; shortest
# 	 is the amount of time an activity can be delayed without delaying the early start date of any immediately following activities | Free slack
# is the amount of time an activity can be delayed from its early start without delaying the planned project finish date | Total slack
# The 	for an activity is the latest possible time an activity might begin without delaying the project finish date | late start date
# 	 is a technique for making cost and schedule trade-offs to obtain the greatest amount of schedule compression for the least incremental cost | Crashing
# involves doing activities in parallel that you would normally do in sequence | Fast
# 	 is a method of scheduling that considers limited resources when creating a project schedule and includes buffers to protect the project completion date | Critical chain 
# Critical chain scheduling protects tasks on the critical chain from being delayed by using 	, which consist of additional time added before tasks on the critical chain that are preceded by non-critical-path tasks. | feeding buffers
# states that work expands to fill the time allowed | Parkinson’s Law
# 	 use(s) probabilistic time estimates—duration estimates based on using optimistic, most likely, and pessimistic estimates of activity durations—instead of one specific or discrete duration estimate | PERT
# The goal of 	is to know the status of the schedule, influence the factors that cause schedule changes, determine that the schedule has changed, and manage changes when they occur | schedule control
# . Project managers often illustrate progress with a 		showing key deliverables and activities | Tracking Gantt chart
# Project managers must use discipline to control | project schedules
# Project management software highlights the critical path in 	 on a network diagram. | red
# The Standish Group’s CHAOS studies reported an average cost overrun for unsuccessful IT projects ranged from 180 percent in 1994 to 	 percent in 2004. | 56
# Three separate surveys of software project cost overruns found that the average cost overrun for all of the projects in their survey samples (not just unsuccessful projects) were 	 percent | 33–34
# includes the processes required to ensure that a project team completes a project within an approved budget | Project cost management
# involves developing an approximation or estimate of the costs of the resources needed to complete a project | Estimating costs
# involves allocating the overall cost estimate to individual work items to establish a baseline for measuring performance | Determining the budget
# is the ratio of revenues to profits | Profit margin
# helps you develop an accurate projection of a project’s financial costs and benefits | Life cycle costing
# . 	, with assistance from financial experts in their organizations, should create estimates of the costs and benefits of the project for its entire life cycle. | Project managers
# Since organizations depend on reliable information technology, there are also huge costs associated with | downtime
# 	 is a method for determining the estimated annual costs and benefits for a project and the resulting annual cash flow | Cash flow analysis
# 	 are those costs that an organization can easily measure in dollars | Tangible
# Project managers should focus on 	, since they can control them | direct costs
# 	 are costs that are not directly related to the products or services of the project, but are indirectly related to performing the project | Indirect costs
# should be forgotten | Sunk costs
# allow for future situations that may be partially planned for | Contingency reserves
# allow for future situations that are unpredictable | Management reserves
# A 	 provides an estimate of what a project will cost | rough order of magnitude 
# A 	 is done very early in a project or even before a project is officially started | rough order of magnitude 
# A 	 is used to allocate money into an organization’s budget | budgetary estimate
# A 	 is used for making many purchasing decisions for which accurate estimates are required and for estimating final project costs | definitive estimate
# 	 use the actual cost of a previous, similar project as the basis for estimating the cost of the current project | Analogous estimates
# involve estimating individual work items or activities and summing them to get a project total | Bottom-up 
# A(n) 	 might provide an estimate of $50 per line of code for a software development project based on the programming language the project is using, the level of expertise of the programmers, the size and complexity of the data involved, and so on | parametric model
# Tom DeMarco, a well-known author on software development, suggests 	 reasons for the inaccuracies of many information technology project cost estimates and some ways to overcome them | four
# If the cost estimate will be the basis for contract awards and performance reporting, it should be a and as accurate as possible | definitive estimate
# The main goal of the 	process is to produce a cost baseline for measuring project performance and project funding requirements | cost budgeting
# A 	 is a time-phased budget that project managers use to measure and monitor cost performance | cost 
# The project management plan, project funding requirements, work performance data, and organizational process assets are inputs for the process of 	. | controlling costs
# 	 is a project performance measurement technique that integrates scope, time, and cost data | Earned value management
# The 	is that portion of the approved total cost estimate planned to be spent on an activity during a given period | PV
# The 	is the ratio of actual work completed to the percentage of work planned to have been completed at any given time during the life of the project or activity | RP
# The 	is an estimate of the value of the physical work actually completed | EV
# The 	is the total direct and indirect costs incurred in accomplishing work on an activity during a given period | AC
# Variances are calculated by subtracting the actual cost or planned value from 	. | EV
# 	 is the earned value minus the actual cost | CV
# is the earned value minus the planned value | SV
# The 	is the ratio of earned value to actual cost and can be used to estimate the projected cost of completing the project | CPI
# The 	is the ratio of earned value to planned value and can be used to estimate the projected time to complete the project. | SPI
# The 	is an estimate of what it will cost to complete the project based on performance to date. | EAC
# Using simplified percentage complete amounts for a one-year project with weekly reporting and an average task or work packet size of one week, you can expect about a(n) 	percent error rate | 1
# It took only 	 years for 50 million people to use the Internet compared to 25 years for 50 million people to use telephones | five
# 	 means the project’s processes and products meet written specifications | Conformance to requirements
# The 	 ultimately decides if quality is acceptable | customer
# Project quality management involves 	 main processes | three
# 	 includes identifying which quality standards are relevant to the project and how to satisfy those standards | Planning quality
# The main outputs of 	 are a quality management plan, quality metrics, quality checklists, a process improvement plan, and project document updates | quality planning
# 	 involves periodically evaluating overall project performance to ensure that the project will satisfy the relevant quality standards | Performing quality assurance
# involves monitoring specific project results to ensure that they comply with the relevant quality standards while identifying ways to improve overall quality | Performing quality control
# The 	 process is often associated with the technical tools and techniques of quality management, such as Pareto charts, quality control charts, and statistical sampling | quality control
# are the system’s special characteristics that appeal to users | Features
# addresses how well a product or service performs the customer’s intended use | Performance
# is the ability of a product or service to perform as expected under normal conditions | Reliability
# addresses the ease of performing maintenance on a product | Maintainability
# 	 generates ideas for quality improvements by comparing specific project practices or product characteristics to those of other projects or products within or outside the performing organization | Benchmarking
# 	determine(s) if the products or services produced as part of the project will be accepted or rejected. | Acceptance
# 	 is action taken to bring rejected items into compliance with product requirements or specifications or other stakeholder expectations | Rework
# 		 correct(s) or prevent(s) further quality problems based on quality control measurements | Process adjustments
# A 	 is a graphic display of data that illustrates the results of a process over time. | control chart
# The 	states that if seven data points in a row are all below the mean, above the mean, or are all increasing or decreasing, then the process needs to be examined for non-random problems. | seven run rule
# help(s) you identify the vital few contributors that account for most quality problems in a system. | Pareto charts
# 	 involves choosing part of a population of interest for inspection | Statistical sampling
# A certainty factor of 1.960 is used for 	percent desired certainty | 95
# 	 is a comprehensive and flexible system for achieving, sustaining and maximizing business success. | Six Sigma
# Six Sigma’s target for perfection is the achievement of no more than 	 defects, errors, or mistakes per million opportunities. | 3.4
# Important tools used in the 	 phase of the DMAIC process include a project charter, a description of customer requirements, process maps, and Voice of the Customer (VOC) data. | define
# An important tool used in the 	 phase of the DMAIC process is the fishbone or Ishikawa diagram | analyze
# A 	 is a bell-shaped curve that is symmetrical regarding the average value of the population (the data being analyzed | normal distribution
# In any normal distribution, 	 percent of the population is within three standard deviations of the mean. | 99.7
# A(n) 	 is any instance where the product or service fails to meet customer requirements. | defect
# A(n) 	 is done to test each individual component (often a program) to ensure that it is as defect-free as possible. | unit test
# 	 is an independent test performed by end users prior to accepting the delivered system | User acceptance 
# One of 	 14 Points for Management states that an organization should cease dependence on inspection to achieve quality | Deming’s
# One of 	 ten steps states that an organization should build awareness of the need and opportunity for improvement | Juran’s
# Juran’s final step to quality improvement is | maintain momentum by making annual improvement part of the regular systems and processes of the company 
# 	 wrote Quality Is Free in 1979 and is best known for suggesting that organizations strive for zero defects | Crosby
# 	, a quality system standard developed by the ISO, is a three-part, continuous cycle of planning, controlling, and documenting quality in an organization | ISO 9000
# is the cost of evaluating processes and their outputs to ensure that a project is error-free or within an acceptable error range. | Appraisal cost
# 		 is a cost that relates to all errors not detected and not corrected before delivery to the customer. | External failure cost
# 	 helps integrate traditionally separate organizational functions, set process improvement goals and priorities, provide guidance for quality processes, and provide a point of reference for appraising current processes | CMMI
# Human resource management includes 	 processes | 4
# 	 involves getting the needed personnel assigned to and working on the project | Acquiring the project 
# Key outputs of 	 process are project staff assignments, resource calendars, and project management plan updates | acquiring the project team
# 	 involves building individual and group skills to enhance project performance | Developing the project team
# The main outputs of 	 process are team performance assessments and enterprise environmental factors update | developing the project team
# 	 involves tracking team member performance, motivating team members, providing timely feedback, resolving issues and conflicts, and coordinating changes to help enhance project performance. | Managing the project team
# involves identifying and documenting project roles, responsibilities, and reporting relationships | Developing the human resource plan
# Abraham Maslow, a highly respected psychologist, rejected the dehumanizing negativism of psychology in the | 1950
# 	 is best known for developing a hierarchy of needs. | Abraham Maslow
# The bottom four needs in Maslow’s structure are referred to as 	 needs | deficiency
# The highest level of needs in Maslow’s structure is referred to as a 	 need | growt
# is best known for distinguishing between motivational factors and hygiene factors when considering motivation in work settings | Frederick Herzberg
# found that people were motivated to work mostly by feelings of personal achievement and recognition | Herzberg
# proposed that an individual’s specific needs are acquired or learned over time and shaped by life experiences | David McClelland
# . People with a high need for 	 seek to excel and tend to avoid both low-risk and high-risk situations to improve their chances for achieving something worthwhile | achievemen
# People with a high need for 	 desire harmonious relationships with other people and need to feel accepted by others | affiliation
# People who need personal 	 want to direct others and can be seen as bossy | power
# The 	 presents subjects with a series of ambiguous pictures and asks them to develop a spontaneous story for each picture, assuming they will project their own needs into the story | TAT
# 	 is best known for developing Theory X and Theory Y | Douglas McGregor
# People who believe in 	assume that the average worker wants to be directed and prefers to avoid responsibility. | Theory X
# 	 emphasizes things such as job rotation, broadening of skills, generalization versus specialization, and the need for continuous training of workers | Theory Z
# According to Thamhain and Wilemon, 	is the legitimate hierarchical right to issue orders | authority
# According to Thamhain and Wilemon, 	is the ability to improve a worker’s position | promotio
# involves using punishment, threats, or other negative approaches to get people to do things they do not want to do. | Reward power
# involves using incentives to induce people to do things | Reward power
# is based on an individual’s personal charisma. | Referent power
# Which of Covey’s habits does Douglas Ross suggest differentiates good project managers from average or poor project managers | Seek first to understand, then to be understood
# 	 is matching certain behaviors of the other person | Mirrorin
# fill in for project managers in their absence and assist them as needed | Deputy project managers
# The first step in the framework for defining and assigning work is | finalizing the project requirements
# A(n) 	 is a column chart that shows the number of resources assigned to a project over time | resource histogram
# 	 refers to the amount of individual resources an existing schedule requires during specific time periods | Resource loading
# is a technique for resolving resource conflicts by delaying tasks | Resource leveling
# In the Tuckman model, 	 occurs as team members have different opinions as to how the team should operate | storming
# In the Tuckman model, 	 occurs when the emphasis is on reaching the team goals, rather than working on team process | performing
# Psychologist David Merril describes 	 as reactive and task-oriented | Analytical
# Psychologist David Merril describes 	 as reactive and people-oriented | Amiables
# There are 	 main processes in project communications management | 4
# involves determining the information and communications needs of the stakeholders | Planning communication
# The output of the 	 process is a communications management plan | planning communications
# involves making needed information available to project stakeholders in a timely manner | Distributing information
# involves collecting and disseminating performance information, including status reports, progress measurement, and forecasting | Reporting performance
# The communications management plan can be part of the team | contract
# Having 	 review and approve all stakeholder communications analysis will ensure that the information is correct and useful | stakeholders
